Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,712.49",38.52,1.44,"6,234,381,480.75"
Sensitive Index,465.99,6.25,1.36,"2,463,024,747.50"
Float Index,187.19,3.03,1.64,"6,175,862,330.95"
Sensitive Float Index,159.01,2.41,1.54,"2,463,024,747.50"
Banking SubIndex,"1,404.18",22.70,1.64,"597,177,083.60"
Development Bank Index,"5,790.39",91.04,1.59,"226,515,643.80"
Finance Index,"2,534.72",35.81,1.43,"350,990,076.10"
Hotels And Tourism,"7,370.15",116.62,1.60,"100,261,699.20"
HydroPower Index,"3,576.95",74.82,2.13,"3,323,628,792.75"
Investment,106.26,1.60,1.52,"176,235,581.30"
Life Insurance,"13,050.12",136.04,1.05,"187,462,445.40"
Manufacturing And Processing,"9,378.10",137.81,1.49,"636,103,941.20"
Microfinance Index,"4,936.48",80.67,1.66,"239,585,889.60"
Mutual Fund,21.36,0.17,0.83,"4,606,888.20"
Non Life Insurance,"11,151.72",123.21,1.11,"100,347,714.70"
Others Index,"2,353.19",24.03,1.03,"218,539,001.70"
Trading Index,"3,648.93",-32.43,-0.88,"19,014,461.60"
