Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,628.26",-5.60,-0.21,"4,270,082,575.91"
Sensitive Index,450.12,-1.53,-0.33,"1,184,248,755.70"
Float Index,176.98,-0.39,-0.22,"4,202,766,294.10"
Sensitive Float Index,148.88,-0.42,-0.28,"1,184,248,755.70"
Banking SubIndex,"1,403.83",-5.12,-0.36,"304,681,277.80"
Development Bank Index,"5,528.15",-9.01,-0.16,"414,484,151.50"
Finance Index,"3,176.79",33.86,1.07,"549,080,840.20"
Hotels And Tourism,"6,456.42",-27.87,-0.42,"102,210,123.90"
HydroPower Index,"3,454.95",-12.76,-0.36,"1,609,637,026.50"
Investment,100.83,-0.32,-0.32,"235,470,192.00"
Life Insurance,"12,639.11",-41.98,-0.33,"220,024,978.60"
Manufacturing And Processing,"6,733.52",-22.26,-0.32,"100,087,261.90"
Microfinance Index,"4,879.34",4.38,0.09,"444,107,477.70"
Mutual Fund,21.35,-0.05,-0.26,"4,560,221.51"
Non Life Insurance,"12,646.15",-17.83,-0.14,"115,166,199.70"
Others Index,"1,947.44",-7.40,-0.37,"112,714,754.40"
Trading Index,"4,806.80",24.17,0.50,"12,095,388.90"
