Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,751.07",78.82,2.95,"6,318,340,932.00"
Sensitive Index,516.07,11.50,2.28,"6,419,940,000.00"
Float Index,192.27,5.46,2.92,"6,240,850,000.00"
Sensitive Float Index,172.58,4.02,2.39,"4,710,690,000.00"
Banking SubIndex,"1,888.29",45.01,2.44,"1,372,860,000.00"
Development Bank Index,"5,120.84",185.83,3.77,"1,699,030,000.00"
Finance Index,"2,571.76",136.66,5.61,"561,089,000.00"
Hotels And Tourism,"3,324.15",232.20,7.51,"54,333,500.00"
HydroPower Index,"2,977.69",123.59,4.33,"1,604,810,000.00"
Investment,90.91,3.91,4.50,"207,905,000.00"
Life Insurance,"15,451.59",499.98,3.34,"277,713,000.00"
Manufacturing And Processing,"6,463.21",174.55,2.78,"160,164,000.00"
Microfinance Index,"5,317.70",68.31,1.30,"701,935,000.00"
Mutual Fund,15.59,0.21,1.35,"18,869,500.00"
Non Life Insurance,"12,307.29",317.53,2.65,"446,521,000.00"
Others Index,"1,866.02",44.88,2.46,"295,308,000.00"
Trading Index,"3,105.79",83.36,2.76,"18,090,200.00"
