Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,883.16",-10.54,-0.56,"774,911,706.64"
Sensitive Index,370.53,-1.83,-0.49,"272,081,603.40"
Float Index,131.81,-0.68,-0.52,"770,941,609.70"
Sensitive Float Index,120.83,-0.58,-0.48,"271,538,646.40"
Banking SubIndex,"1,331.79",-5.30,-0.40,"96,358,471.50"
Development Bank Index,"3,326.91",-3.84,-0.12,"60,733,779.70"
Finance Index,"1,526.82",-0.71,-0.05,"42,799,642.60"
Hotels And Tourism,"2,656.51",15.82,0.60,"6,843,138.20"
HydroPower Index,"1,923.77",-20.46,-1.05,"161,917,028.90"
Investment,55.99,-0.38,-0.67,"27,686,449.90"
Life Insurance,"8,834.32",-70.73,-0.79,"32,626,719.30"
Manufacturing And Processing,"4,873.09",-33.16,-0.68,"127,514,467.50"
Microfinance Index,"4,209.64",-53.82,-1.26,"162,855,506.10"
Mutual Fund,13.42,-0.04,-0.31,"1,689,837.45"
Non Life Insurance,"7,527.02",-18.44,-0.24,"17,504,998.70"
Others Index,"1,402.82",-1.08,-0.08,"32,326,829.30"
Trading Index,"1,795.73",-26.26,-1.44,"1,774,578.00"
