Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,078.76",2.27,0.10,"3,404,372,632.64"
Sensitive Index,367.75,0.55,0.14,"816,732,195.84"
Float Index,140.91,0.16,0.11,"3,346,201,455.04"
Sensitive Float Index,120.50,0.23,0.19,"813,227,241.24"
Banking SubIndex,"1,101.03",1.62,0.14,"130,414,350.40"
Development Bank Index,"4,052.61",-5.22,-0.12,"124,135,973.40"
Finance Index,"2,298.74",58.87,2.62,"744,097,021.30"
Hotels And Tourism,"5,362.84",-19.65,-0.36,"69,032,934.80"
HydroPower Index,"2,591.96",8.50,0.32,"983,123,976.60"
Investment,76.12,-0.13,-0.18,"219,130,275.60"
Life Insurance,"10,078.90",-13.27,-0.13,"104,157,132.30"
Manufacturing And Processing,"6,467.85",-28.23,-0.43,"121,007,264.84"
Microfinance Index,"4,602.16",6.88,0.14,"608,522,352.40"
Mutual Fund,18.77,-0.01,-0.07,"1,827,389.00"
Non Life Insurance,"10,607.87",18.88,0.17,"108,399,481.10"
Others Index,"1,600.08",2.57,0.16,"138,123,187.20"
Trading Index,"2,887.23",-38.78,-1.32,"16,764,577.50"
