Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,507.70",92.16,3.82,"4,523,338,143.00"
Sensitive Index,477.26,14.74,3.19,"5,359,330,000.00"
Float Index,172.29,6.30,3.79,"4,490,300,000.00"
Sensitive Float Index,153.71,5.03,3.38,"3,295,270,000.00"
Banking SubIndex,"1,712.70",37.14,2.22,"643,250,276.30"
Development Bank Index,"4,417.92",230.63,5.51,"390,397,815.50"
Finance Index,"2,199.31",74.60,3.51,"468,985,038.30"
Hotels And Tourism,"2,995.73",103.58,3.58,"19,356,275.70"
HydroPower Index,"2,859.70",162.66,6.03,"1,181,195,945.70"
Investment,78.94,3.89,5.19,"198,184,126.10"
Life Insurance,"13,113.09",502.77,3.99,"176,313,832.80"
Manufacturing And Processing,"6,355.45",452.03,7.66,"722,812,790.60"
Microfinance Index,"4,804.35",182.87,3.96,"375,156,835.00"
Mutual Fund,14.87,0.07,0.47,"4,737,930.86"
Non Life Insurance,"10,719.79",487.36,4.76,"4,737,930.86"
Others Index,"1,950.47",64.90,3.44,"154,032,063.10"
Trading Index,"2,666.72",202.87,8.23,"26,002,799.00"
