Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,924.48",-57.00,-2.88,"2,125,655,787.38"
Sensitive Index,374.13,-11.23,-2.91,"2,027,270,000.00"
Float Index,133.67,-3.93,-2.86,"2,086,510,000.00"
Sensitive Float Index,122.19,-4.12,-3.26,"1,425,240,000.00"
Banking SubIndex,"1,313.82",-24.32,-1.82,"403,765,132.30"
Development Bank Index,"3,474.57",-169.38,-4.65,"188,035,396.20"
Finance Index,"1,643.74",-90.91,-5.24,"182,248,766.30"
Hotels And Tourism,"2,590.39",-91.73,-3.42,"10,857,637.30"
HydroPower Index,"2,148.93",-100.40,-4.46,"674,308,711.50"
Investment,60.81,-2.07,-3.29,"66,139,166.70"
Life Insurance,"9,132.79",-177.12,-1.90,"59,860,871.00"
Manufacturing And Processing,"4,882.21",-159.07,-3.16,"105,982,878.30"
Microfinance Index,"4,339.67",-139.59,-3.12,"193,239,123.10"
Mutual Fund,14.04,-0.28,-1.95,"7,735,992.08"
Non Life Insurance,"7,794.77",-196.68,-2.46,"104,747,983.30"
Others Index,"1,378.85",-56.57,-3.94,"88,037,492.20"
Trading Index,"1,893.82",-78.24,-3.97,"9,288,678.50"
