Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,933.55",11.56,0.60,"925,174,380.44"
Sensitive Index,380.92,3.02,0.80,"435,265,406.30"
Float Index,135.57,0.79,0.59,"912,648,351.40"
Sensitive Float Index,124.80,0.87,0.70,"435,020,643.30"
Banking SubIndex,"1,358.30",5.95,0.44,"165,909,275.00"
Development Bank Index,"3,450.27",37.90,1.11,"147,858,223.90"
Finance Index,"1,607.10",18.10,1.14,"66,101,601.60"
Hotels And Tourism,"2,697.79",2.13,0.08,"17,631,861.90"
HydroPower Index,"2,016.33",11.63,0.58,"217,535,110.30"
Investment,57.20,0.05,0.08,"28,014,232.80"
Life Insurance,"9,082.24",26.85,0.30,"32,376,895.70"
Manufacturing And Processing,"5,169.78",60.29,1.18,"96,299,221.00"
Microfinance Index,"4,254.13",27.37,0.65,"107,825,567.50"
Mutual Fund,13.54,0.05,0.38,"906,398.35"
Non Life Insurance,"7,623.34",-3.26,-0.04,"14,062,172.50"
Others Index,"1,457.01",24.25,1.69,"16,104,771.00"
Trading Index,"1,848.14",23.23,1.27,"2,929,418.20"
