Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,727.58",69.80,2.62,"12,955,764,136.98"
Sensitive Index,458.37,13.64,3.06,"3,627,858,838.10"
Float Index,184.29,4.93,2.75,"12,666,355,004.84"
Sensitive Float Index,153.25,4.58,3.08,"3,627,858,838.10"
Banking SubIndex,"1,367.97",33.75,2.52,"609,093,883.20"
Development Bank Index,"6,049.27",184.75,3.15,"1,521,226,900.80"
Finance Index,"2,608.15",33.39,1.29,"544,069,432.50"
Hotels And Tourism,"6,939.94",124.15,1.82,"158,643,132.90"
HydroPower Index,"3,849.23",53.67,1.41,"5,846,469,656.44"
Investment,107.58,3.52,3.38,"1,039,319,996.20"
Life Insurance,"13,172.44",312.65,2.43,"457,336,775.30"
Manufacturing And Processing,"7,314.57",218.01,3.07,"361,095,769.20"
Microfinance Index,"5,210.32",244.50,4.92,"1,179,698,640.00"
Mutual Fund,20.12,0.03,0.17,"13,441,508.65"
Non Life Insurance,"13,122.84",470.43,3.71,"316,012,593.30"
Others Index,"2,140.16",55.04,2.63,"725,247,700.40"
Trading Index,"4,414.07",57.37,1.31,"17,160,232.30"
