Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,504.14",69.57,4.85,"3,608,526,354.00"
Sensitive Index,317.50,17.06,5.68,"3,918,300,000.00"
Float Index,106.96,5.59,5.51,"3,510,800,000.00"
Sensitive Float Index,106.46,6.29,6.28,"3,251,610,000.00"
Banking SubIndex,"1,288.74",86.02,7.15,"1,261,360,000.00"
Development Bank Index,"1,966.22",84.59,4.50,"889,270,000.00"
Finance Index,697.63,22.56,3.34,"355,945,000.00"
Hotels And Tourism,"1,972.95",11.78,0.60,"20,386,500.00"
HydroPower Index,"1,083.68",33.75,3.21,"156,064,000.00"
Life Insurance,"8,666.00",192.36,2.27,"359,729,000.00"
Manufacturing And Processing,"2,942.10",38.61,1.33,"194,323,000.00"
Microfinance Index,"2,725.10",54.89,2.06,"669,187,000.00"
Mutual Fund,10.54,0.28,2.73,"3,489,280.00"
Non Life Insurance,"7,248.83",139.85,1.97,"833,270,000.00"
Others Index,744.38,24.62,3.42,"135,276,000.00"
Trading Index,959.59,73.10,8.25,"20,627,600.00"
