Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,640.34",3.66,0.14,"8,834,603,967.00"
Sensitive Index,479.58,-2.20,-0.46,"8,323,710,000.00"
Float Index,182.32,0.42,0.23,"8,575,260,000.00"
Sensitive Float Index,156.16,-0.82,-0.52,"6,822,450,000.00"
Banking SubIndex,"1,929.53",-7.13,-0.37,"3,512,620,000.00"
Development Bank Index,"2,763.30",29.32,1.07,"1,334,150,000.00"
Finance Index,"1,198.56",-4.18,-0.35,"580,641,000.00"
Hotels And Tourism,"2,073.54",12.17,0.59,"13,651,600.00"
HydroPower Index,"2,024.32",83.27,4.29,"1,078,550,000.00"
Life Insurance,"18,089.65",-361.46,-1.96,"537,939,000.00"
Manufacturing And Processing,"5,759.35",4.44,0.08,"188,708,000.00"
Microfinance Index,"4,461.16",-45.46,-1.01,"856,242,000.00"
Mutual Fund,13.57,0.82,6.40,"66,606,200.00"
Non Life Insurance,"13,105.36",-83.88,-0.64,"1,323,690,000.00"
Others Index,"2,161.18",39.91,1.88,"1,015,930,000.00"
Trading Index,"3,065.52",16.50,0.54,"11,581,600.00"
