Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,705.53",0.08,0.00,"3,637,589,010.09"
Sensitive Index,464.43,-0.20,-0.04,"1,092,955,410.10"
Float Index,184.89,0.10,0.05,"3,461,448,810.20"
Sensitive Float Index,157.24,0.08,0.05,"1,092,955,410.10"
Banking SubIndex,"1,432.27",-2.68,-0.18,"378,982,262.00"
Development Bank Index,"5,762.59",0.46,0.00,"121,470,403.70"
Finance Index,"2,443.76",3.44,0.14,"279,637,438.90"
Hotels And Tourism,"7,661.66",-49.81,-0.64,"161,224,024.90"
HydroPower Index,"3,795.54",11.54,0.30,"1,485,436,160.10"
Investment,100.48,0.53,0.53,"269,190,973.80"
Life Insurance,"12,378.07",-8.85,-0.07,"94,464,525.20"
Manufacturing And Processing,"11,048.38",56.06,0.51,"417,504,375.10"
Microfinance Index,"4,727.86",-1.98,-0.04,"94,322,702.90"
Mutual Fund,21.84,-0.01,-0.05,"11,414,795.79"
Non Life Insurance,"11,140.84",-62.50,-0.55,"65,890,866.20"
Others Index,"2,003.00",-1.75,-0.08,"92,027,532.20"
Trading Index,"3,357.97",-20.46,-0.60,"1,297,545.20"
