Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,340.29",9.19,0.69,"1,111,090,272.00"
Sensitive Index,281.42,1.01,0.36,"1,061,070,000.00"
Float Index,93.67,0.59,0.63,"1,076,930,000.00"
Sensitive Float Index,92.05,0.28,0.31,"912,023,000.00"
Banking SubIndex,"1,123.34",-1.13,-0.10,"298,823,000.00"
Development Bank Index,"1,703.12",-4.01,-0.23,"232,520,000.00"
Finance Index,659.69,6.53,1.00,"74,620,000.00"
Hotels And Tourism,"1,474.37",-53.22,-3.48,"6,124,890.00"
HydroPower Index,956.68,-0.38,-0.04,"23,988,900.00"
Life Insurance,"8,204.62",197.25,2.46,"219,996,000.00"
Manufacturing And Processing,"2,737.46",17.35,0.64,"38,533,200.00"
Microfinance Index,"2,332.49",85.93,3.82,"207,551,000.00"
Mutual Fund,9.91,-0.01,-0.10,"2,298,950.00"
Non Life Insurance,"6,238.11",80.54,1.31,"287,479,000.00"
Others Index,763.69,7.78,1.03,"171,627,000.00"
Trading Index,861.28,1.05,0.12,"5,779,830.00"
