Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,988.04",2.60,0.13,"3,909,198,570.27"
Sensitive Index,375.30,0.93,0.25,"767,366,079.95"
Float Index,137.17,0.15,0.11,"3,838,719,555.45"
Sensitive Float Index,122.14,0.57,0.46,"762,567,021.95"
Banking SubIndex,"1,197.45",4.87,0.40,"374,665,931.55"
Development Bank Index,"3,889.56",44.22,1.15,"255,515,198.40"
Finance Index,"1,773.03",6.13,0.34,"180,069,323.20"
Hotels And Tourism,"5,417.40",-89.55,-1.62,"121,517,990.00"
HydroPower Index,"2,195.93",8.95,0.40,"1,135,409,012.50"
Investment,71.39,0.17,0.24,"201,742,933.90"
Life Insurance,"11,109.97",-129.10,-1.14,"530,460,886.20"
Manufacturing And Processing,"5,117.62",42.53,0.83,"396,028,437.00"
Microfinance Index,"3,539.33",29.13,0.82,"185,896,873.50"
Mutual Fund,18.40,0.14,0.78,"6,463,231.22"
Non Life Insurance,"10,874.81",-144.46,-1.31,"324,524,488.90"
Others Index,"1,486.00",4.99,0.33,"103,032,780.90"
Trading Index,"2,866.43",-2.46,-0.08,"29,855,699.40"
