Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,002.70",50.04,2.56,"1,565,558,802.91"
Sensitive Index,379.50,9.27,2.50,"532,237,945.20"
Float Index,140.78,3.57,2.60,"1,545,566,914.50"
Sensitive Float Index,126.93,3.21,2.59,"526,443,193.70"
Banking SubIndex,"1,315.37",23.54,1.82,"221,920,136.20"
Development Bank Index,"3,652.86",105.42,2.97,"80,235,411.20"
Finance Index,"1,699.79",56.84,3.46,"68,928,768.90"
Hotels And Tourism,"3,130.34",66.61,2.17,"23,380,327.50"
HydroPower Index,"2,594.90",90.04,3.59,"614,254,317.70"
Investment,65.75,2.08,3.26,"68,632,066.40"
Life Insurance,"10,061.12",313.74,3.22,"68,621,884.10"
Manufacturing And Processing,"4,581.22",68.96,1.53,"137,931,647.10"
Microfinance Index,"3,778.22",109.73,2.99,"145,897,760.10"
Mutual Fund,14.21,0.32,2.31,"2,186,609.13"
Non Life Insurance,"8,960.38",252.76,2.90,"70,684,431.90"
Others Index,"1,441.43",31.21,2.21,"27,806,885.40"
Trading Index,"2,152.68",43.56,2.07,"17,273,278.00"
