Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,778.12",36.32,2.08,"6,116,730,071.00"
Sensitive Index,343.07,4.98,1.47,"6,164,170,000.00"
Float Index,120.99,1.88,1.58,"6,031,340,000.00"
Sensitive Float Index,110.34,1.13,1.03,"4,756,240,000.00"
Banking SubIndex,"1,322.48",2.71,0.21,"1,196,290,000.00"
Development Bank Index,"2,098.92",28.99,1.40,"698,793,000.00"
Finance Index,889.22,13.76,1.57,"413,875,000.00"
Hotels And Tourism,"2,118.59",181.63,9.38,"156,641,000.00"
HydroPower Index,"1,448.07",21.63,1.52,"637,590,000.00"
Life Insurance,"11,126.86",376.15,3.50,"825,134,000.00"
Manufacturing And Processing,"3,833.87",204.73,5.64,"478,032,000.00"
Microfinance Index,"2,769.18",46.38,1.70,"539,092,000.00"
Mutual Fund,11.78,0.07,0.63,"18,494,000.00"
Non Life Insurance,"9,610.63",399.16,4.33,"1,903,040,000.00"
Others Index,"1,370.69",58.15,4.43,"810,345,000.00"
Trading Index,"2,193.94",198.40,9.94,"21,542,100.00"
