Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,891.31",8.10,0.43,"1,272,346,510.88"
Sensitive Index,358.88,0.54,0.15,"390,683,651.20"
Float Index,132.24,0.53,0.40,"1,249,484,354.80"
Sensitive Float Index,119.40,0.01,0.01,"389,142,924.20"
Banking SubIndex,"1,222.84",-0.29,-0.02,"202,060,844.70"
Development Bank Index,"3,509.87",10.66,0.30,"49,412,044.00"
Finance Index,"1,596.22",13.15,0.83,"44,374,417.90"
Hotels And Tourism,"3,707.42",55.53,1.52,"160,545,788.00"
HydroPower Index,"2,371.23",14.22,0.60,"262,168,152.90"
Investment,65.01,0.17,0.26,"58,364,308.20"
Life Insurance,"9,617.23",88.32,0.93,"104,430,739.40"
Manufacturing And Processing,"4,514.47",107.57,2.44,"111,505,976.70"
Microfinance Index,"3,398.44",17.75,0.53,"69,188,794.40"
Mutual Fund,13.73,0.08,0.60,"2,144,043.03"
Non Life Insurance,"9,081.81",74.08,0.82,"151,849,331.10"
Others Index,"1,348.66",0.58,0.04,"30,444,125.00"
Trading Index,"2,108.74",-20.99,-0.99,"5,139,832.50"
