Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,006.78",-3.43,-0.17,"2,536,233,986.66"
Sensitive Index,355.77,-0.43,-0.12,"467,683,289.30"
Float Index,135.75,-0.16,-0.12,"2,347,397,032.30"
Sensitive Float Index,116.04,-0.27,-0.23,"456,245,948.10"
Banking SubIndex,"1,054.80",-3.70,-0.35,"178,347,769.50"
Development Bank Index,"3,882.79",-25.00,-0.63,"90,983,637.90"
Finance Index,"1,891.54",-12.03,-0.63,"173,862,927.80"
Hotels And Tourism,"5,159.30",-9.36,-0.18,"52,802,832.70"
HydroPower Index,"2,449.95",-9.61,-0.39,"578,349,033.90"
Investment,75.36,-0.14,-0.18,"78,546,783.90"
Life Insurance,"10,179.96",51.60,0.50,"373,750,974.10"
Manufacturing And Processing,"6,837.72",-121.61,-1.74,"340,506,162.00"
Microfinance Index,"3,974.90",64.55,1.65,"446,547,847.70"
Mutual Fund,18.33,0.07,0.38,"5,372,345.07"
Non Life Insurance,"10,403.20",-2.26,-0.02,"64,029,959.10"
Others Index,"1,654.17",-4.62,-0.27,"93,274,640.80"
Trading Index,"2,738.05",-20.52,-0.74,"3,179,889.90"
