Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,843.35",-32.08,-1.11,"21,502,031,320.33"
Sensitive Index,489.69,-4.40,-0.89,"8,880,721,319.10"
Float Index,196.39,-2.23,-1.12,"21,220,248,354.90"
Sensitive Float Index,167.04,-1.93,-1.14,"8,880,721,319.10"
Banking SubIndex,"1,482.25",-19.12,-1.27,"2,087,244,429.80"
Development Bank Index,"6,061.57",-71.56,-1.16,"887,925,724.00"
Finance Index,"2,618.28",-55.13,-2.06,"709,630,573.60"
Hotels And Tourism,"7,648.23",-144.83,-1.85,"406,743,161.50"
HydroPower Index,"3,764.95",-55.74,-1.45,"11,374,899,461.80"
Investment,111.96,-1.80,-1.58,"987,216,619.70"
Life Insurance,"13,730.91",70.46,0.51,"902,042,982.00"
Manufacturing And Processing,"9,707.29",-167.86,-1.69,"1,706,879,257.60"
Microfinance Index,"5,128.17",-9.41,-0.18,"829,555,397.60"
Mutual Fund,21.69,0.28,1.34,"15,696,698.04"
Non Life Insurance,"11,625.40",55.77,0.48,"355,393,540.40"
Others Index,"2,448.58",-35.54,-1.43,"931,410,943.60"
Trading Index,"3,847.65",-83.66,-2.12,"41,306,263.30"
