Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,125.84",64.78,3.14,"3,501,142,097.42"
Sensitive Index,408.72,14.09,3.57,"1,373,368,395.10"
Float Index,149.19,4.27,2.95,"3,490,691,575.80"
Sensitive Float Index,136.71,4.88,3.70,"1,363,703,638.80"
Banking SubIndex,"1,400.44",16.99,1.23,"431,676,138.90"
Development Bank Index,"3,801.96",161.27,4.43,"227,175,785.80"
Finance Index,"1,779.25",68.98,4.03,"197,843,411.70"
Hotels And Tourism,"3,098.51",53.83,1.77,"51,162,460.30"
HydroPower Index,"2,384.05",95.79,4.19,"1,061,623,313.30"
Investment,66.04,3.58,5.73,"155,473,032.20"
Life Insurance,"10,458.61",144.09,1.40,"177,380,374.50"
Manufacturing And Processing,"5,446.14",279.40,5.41,"201,961,354.60"
Microfinance Index,"4,940.57",265.16,5.67,"579,909,382.00"
Mutual Fund,13.97,0.23,1.67,"3,772,482.48"
Non Life Insurance,"8,993.23",300.16,3.45,"185,752,169.70"
Others Index,"1,580.59",56.01,3.67,"197,780,727.20"
Trading Index,"2,291.95",203.39,9.74,"22,953,425.60"
