Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,682.25",58.63,2.23,"5,292,773,925.38"
Sensitive Index,464.36,9.08,1.99,"2,354,469,045.60"
Float Index,183.93,3.90,2.17,"5,250,464,897.20"
Sensitive Float Index,158.32,3.01,1.93,"2,354,469,045.60"
Banking SubIndex,"1,405.37",19.23,1.38,"420,596,307.40"
Development Bank Index,"5,803.22",166.52,2.95,"557,164,140.80"
Finance Index,"2,420.31",50.32,2.12,"117,935,813.30"
Hotels And Tourism,"6,560.45",177.50,2.78,"88,899,393.50"
HydroPower Index,"3,487.89",111.73,3.30,"1,966,363,756.70"
Investment,108.30,1.76,1.66,"300,306,067.20"
Life Insurance,"12,717.98",287.49,2.31,"182,070,479.00"
Manufacturing And Processing,"7,404.15",82.31,1.12,"423,534,756.60"
Microfinance Index,"5,055.35",125.53,2.54,"369,864,409.10"
Mutual Fund,20.30,0.12,0.63,"7,116,783.69"
Non Life Insurance,"11,354.72",382.26,3.48,"166,673,917.10"
Others Index,"2,503.22",61.40,2.51,"631,664,750.60"
Trading Index,"3,915.96",70.45,1.83,"25,391,105.90"
