Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,629.40",7.17,0.27,"4,401,409,858.13"
Sensitive Index,462.89,1.88,0.40,"1,032,339,046.00"
Float Index,180.38,0.42,0.23,"3,866,106,334.79"
Sensitive Float Index,156.31,0.55,0.35,"1,032,339,046.00"
Banking SubIndex,"1,448.15",4.18,0.28,"376,626,166.20"
Development Bank Index,"5,511.85",-20.65,-0.37,"177,800,252.60"
Finance Index,"2,328.83",-4.60,-0.19,"80,592,641.80"
Hotels And Tourism,"7,222.57",-3.68,-0.05,"62,038,720.00"
HydroPower Index,"3,750.98",37.06,0.99,"2,272,024,525.00"
Investment,95.71,0.05,0.05,"88,771,387.80"
Life Insurance,"11,636.64",2.93,0.02,"90,687,573.89"
Manufacturing And Processing,"10,402.47",76.45,0.74,"470,579,827.70"
Microfinance Index,"4,511.50",-2.60,-0.05,"117,157,796.50"
Mutual Fund,20.70,-0.13,-0.65,"10,278,686.05"
Non Life Insurance,"10,424.34",-50.63,-0.48,"39,940,676.90"
Others Index,"1,924.31",1.87,0.09,"82,722,586.40"
Trading Index,"3,275.58",-7.14,-0.21,"7,164,180.00"
