Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,673.32",27.47,1.04,"5,810,673,071.00"
Sensitive Index,478.24,3.12,0.66,"5,031,070,000.00"
Float Index,183.24,1.30,0.72,"5,632,930,000.00"
Sensitive Float Index,154.78,0.86,0.56,"3,401,590,000.00"
Banking SubIndex,"1,785.19",3.38,0.19,"912,030,000.00"
Development Bank Index,"2,832.95",15.23,0.54,"894,762,000.00"
Finance Index,"1,271.55",17.49,1.39,"272,629,000.00"
Hotels And Tourism,"3,259.13",23.19,0.72,"21,281,900.00"
HydroPower Index,"2,609.06",21.07,0.81,"1,134,600,000.00"
Investment,100.15,1.49,1.51,"509,970,000.00"
Life Insurance,"17,368.95",267.18,1.56,"238,436,000.00"
Manufacturing And Processing,"5,901.57",139.70,2.42,"252,591,000.00"
Microfinance Index,"5,481.41",65.12,1.20,"907,558,000.00"
Mutual Fund,13.42,0.02,0.18,"16,869,500.00"
Non Life Insurance,"13,622.39",176.48,1.31,"629,781,000.00"
Others Index,"2,154.60",53.13,2.53,"1,372,810,000.00"
Trading Index,"4,047.54",221.67,5.79,"117,968,000.00"
