Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,415.25",30.24,1.27,"1,476,318,104.44"
Sensitive Index,456.09,6.97,1.55,"1,302,590,000.00"
Float Index,164.63,2.04,1.25,"1,454,100,000.00"
Sensitive Float Index,145.61,2.13,1.49,"947,450,000.00"
Banking SubIndex,"1,604.35",17.55,1.11,"265,081,098.90"
Development Bank Index,"4,169.16",62.65,1.53,"110,202,086.80"
Finance Index,"1,847.15",15.90,0.87,"83,104,304.40"
Hotels And Tourism,"3,121.47",48.69,1.58,"23,098,180.30"
HydroPower Index,"2,758.52",25.71,0.94,"340,921,608.20"
Investment,79.61,0.57,0.72,"107,383,049.20"
Life Insurance,"13,152.06",95.24,0.73,"117,011,263.80"
Manufacturing And Processing,"5,698.18",62.98,1.12,"130,758,955.50"
Microfinance Index,"4,840.58",101.51,2.14,"131,400,111.10"
Mutual Fund,15.20,0.07,0.44,"3,361,158.75"
Non Life Insurance,"11,183.17",129.45,1.17,"96,087,259.20"
Others Index,"1,872.50",41.83,2.28,"41,412,451.00"
Trading Index,"2,228.53",10.84,0.49,"7,636,749.10"
