Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,578.01",1.74,0.11,"1,949,060,194.00"
Sensitive Index,313.10,1.37,0.44,"2,016,310,000.00"
Float Index,109.87,0.22,0.20,"1,942,570,000.00"
Sensitive Float Index,103.39,0.60,0.59,"1,552,360,000.00"
Banking SubIndex,"1,258.40",2.39,0.19,"445,088,000.00"
Development Bank Index,"2,118.14",79.12,3.88,"567,330,000.00"
Finance Index,849.15,-11.66,-1.35,"178,001,000.00"
Hotels And Tourism,"1,755.37",6.94,0.40,"7,057,640.00"
HydroPower Index,"1,367.82",-7.11,-0.52,"444,558,000.00"
Life Insurance,"9,531.44",-28.37,-0.30,"126,609,000.00"
Manufacturing And Processing,"3,057.54",-15.52,-0.50,"48,732,300.00"
Microfinance Index,"2,536.44",3.93,0.16,"115,929,000.00"
Mutual Fund,10.47,-0.03,-0.25,"2,274,080.00"
Non Life Insurance,"7,799.11",-12.21,-0.16,"220,093,000.00"
Others Index,"1,014.10",-1.83,-0.18,"101,515,000.00"
Trading Index,"1,051.08",2.16,0.21,"505,628.00"
