Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,519.57",49.18,1.99,"4,813,223,004.48"
Sensitive Index,452.80,7.91,1.78,"2,101,418,099.50"
Float Index,173.92,3.58,2.10,"4,638,681,236.10"
Sensitive Float Index,149.33,3.21,2.19,"1,470,389,638.60"
Banking SubIndex,"1,455.14",25.83,1.80,"610,612,105.20"
Development Bank Index,"4,976.90",133.37,2.75,"248,274,906.40"
Finance Index,"2,823.83",103.61,3.80,"488,362,218.60"
Hotels And Tourism,"6,198.68",210.06,3.50,"98,839,524.30"
HydroPower Index,"3,099.87",78.84,2.60,"1,559,869,295.90"
Investment,100.92,1.55,1.56,"366,803,268.00"
Life Insurance,"12,339.80",231.41,1.91,"308,986,723.80"
Manufacturing And Processing,"6,675.65",95.21,1.44,"189,350,831.20"
Microfinance Index,"4,707.54",69.53,1.49,"360,851,466.40"
Mutual Fund,20.78,0.00,-0.01,"12,303,946.49"
Non Life Insurance,"12,693.47",209.01,1.67,"231,219,200.70"
Others Index,"1,909.58",33.00,1.75,"208,584,942.00"
Trading Index,"3,450.05",60.37,1.78,"20,005,588.90"
