Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,759.21",20.91,0.76,"9,576,361,139.00"
Sensitive Index,492.58,4.45,0.91,"8,624,070,000.00"
Float Index,189.26,1.24,0.66,"9,457,700,000.00"
Sensitive Float Index,159.10,0.76,0.48,"6,113,850,000.00"
Banking SubIndex,"1,821.88",9.03,0.50,"1,501,060,000.00"
Development Bank Index,"3,020.39",-0.55,-0.02,"1,671,810,000.00"
Finance Index,"1,375.48",12.47,0.91,"618,089,000.00"
Hotels And Tourism,"3,256.41",-12.79,-0.39,"27,878,700.00"
HydroPower Index,"2,778.01",68.33,2.52,"2,083,970,000.00"
Investment,102.80,0.14,0.14,"515,712,000.00"
Life Insurance,"18,036.27",118.39,0.66,"800,779,000.00"
Manufacturing And Processing,"6,003.88",-43.56,-0.72,"152,933,000.00"
Microfinance Index,"5,587.53",15.22,0.27,"1,169,390,000.00"
Mutual Fund,13.70,0.09,0.65,"24,324,300.00"
Non Life Insurance,"14,281.56",39.09,0.27,"1,704,370,000.00"
Others Index,"2,250.96",57.64,2.63,"1,614,660,000.00"
Trading Index,"4,056.25",7.11,0.18,"50,759,400.00"
