Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,870.38",27.38,0.96,"7,167,432,728.00"
Sensitive Index,529.41,3.76,0.72,"7,628,780,000.00"
Float Index,198.73,2.29,1.17,"7,023,380,000.00"
Sensitive Float Index,173.59,1.72,1.00,"5,134,930,000.00"
Banking SubIndex,"1,943.48",38.26,2.01,"2,317,230,000.00"
Development Bank Index,"4,304.23",-59.41,-1.36,"901,928,000.00"
Finance Index,"2,188.76",-39.27,-1.76,"500,498,000.00"
Hotels And Tourism,"3,550.07",-42.85,-1.19,"78,080,800.00"
HydroPower Index,"2,956.02",76.81,2.67,"1,569,060,000.00"
Investment,109.69,0.52,0.48,"497,732,000.00"
Life Insurance,"17,311.00",-12.96,-0.07,"265,272,000.00"
Manufacturing And Processing,"5,953.89",28.65,0.48,"176,853,000.00"
Microfinance Index,"5,079.76",4.90,0.10,"313,614,000.00"
Mutual Fund,15.38,0.08,0.52,"119,450,000.00"
Non Life Insurance,"14,417.17",-40.51,-0.28,"868,219,000.00"
Others Index,"2,190.02",5.40,0.25,"871,610,000.00"
Trading Index,"3,763.56",47.28,1.27,"15,407,300.00"
