Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,547.60",44.25,1.76,"4,975,408,545.45"
Sensitive Index,444.54,5.14,1.17,"2,173,521,906.30"
Float Index,174.93,2.65,1.54,"4,607,337,996.10"
Sensitive Float Index,150.99,1.97,1.32,"2,173,521,906.30"
Banking SubIndex,"1,355.92",3.85,0.28,"413,063,693.30"
Development Bank Index,"5,448.20",75.94,1.41,"358,078,100.00"
Finance Index,"2,243.72",22.87,1.02,"63,537,603.10"
Hotels And Tourism,"6,092.80",197.72,3.35,"63,321,352.00"
HydroPower Index,"3,274.85",67.38,2.10,"1,471,858,348.90"
Investment,103.14,2.29,2.27,"672,240,069.30"
Life Insurance,"12,381.78",233.82,1.92,"196,086,660.60"
Manufacturing And Processing,"7,208.96",111.42,1.56,"278,789,865.60"
Microfinance Index,"4,784.78",30.20,0.63,"303,838,521.70"
Mutual Fund,20.14,0.06,0.32,"5,846,972.25"
Non Life Insurance,"10,728.81",152.42,1.44,"276,929,307.40"
Others Index,"2,292.18",109.49,5.01,"493,739,307.20"
Trading Index,"3,731.09",102.06,2.81,"15,855,167.00"
