Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,584.91",60.41,2.39,"4,126,980,067.52"
Sensitive Index,482.01,10.77,2.29,"2,967,300,000.00"
Float Index,177.13,4.14,2.39,"3,890,780,000.00"
Sensitive Float Index,155.95,3.74,2.46,"4,463,300,000.00"
Banking SubIndex,"1,736.06",33.93,1.99,"936,044,696.60"
Development Bank Index,"4,369.62",144.54,3.42,"271,029,528.10"
Finance Index,"2,088.01",12.93,0.62,"231,620,759.40"
Hotels And Tourism,"3,065.80",42.44,1.40,"19,298,539.10"
HydroPower Index,"2,802.73",46.80,1.70,"705,192,368.20"
Investment,79.42,1.68,2.17,"131,551,978.80"
Life Insurance,"14,555.16",344.28,2.42,"229,031,084.00"
Manufacturing And Processing,"7,200.38",348.06,5.08,"701,628,216.70"
Microfinance Index,"5,033.13",140.87,2.88,"360,665,508.20"
Mutual Fund,14.87,-0.06,-0.39,"7,981,335.43"
Non Life Insurance,"12,021.49",411.40,3.54,"268,238,465.10"
Others Index,"1,992.16",44.82,2.30,"151,219,053.00"
Trading Index,"2,647.83",19.38,0.74,"22,280,499.40"
