Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,082.09",8.90,0.42,"5,490,609,782.28"
Sensitive Index,369.05,0.86,0.23,"1,262,514,328.50"
Float Index,140.77,0.64,0.45,"5,451,115,893.49"
Sensitive Float Index,120.65,0.37,0.30,"1,237,669,716.60"
Banking SubIndex,"1,098.45",-0.25,-0.02,"187,191,983.52"
Development Bank Index,"4,028.07",14.66,0.36,"153,526,700.60"
Finance Index,"2,164.48",25.93,1.21,"484,916,582.10"
Hotels And Tourism,"5,405.84",-51.16,-0.93,"128,011,127.30"
HydroPower Index,"2,577.82",50.74,2.00,"2,280,790,845.47"
Investment,77.10,0.11,0.15,"700,867,307.50"
Life Insurance,"10,023.45",-24.79,-0.24,"136,136,811.80"
Manufacturing And Processing,"6,596.24",7.90,0.11,"184,172,731.50"
Microfinance Index,"4,633.78",28.56,0.62,"831,107,047.10"
Mutual Fund,18.83,-0.73,-3.74,"3,418,701.14"
Non Life Insurance,"10,654.53",134.88,1.28,"158,861,300.80"
Others Index,"1,627.37",-0.58,-0.03,"205,654,365.60"
Trading Index,"2,926.87",-61.10,-2.04,"28,106,270.70"
