Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,734.44",-19.84,-0.72,"3,026,330,784.14"
Sensitive Index,518.66,-3.47,-0.67,"3,363,400,000.00"
Float Index,185.65,-1.47,-0.79,"3,010,170,000.00"
Sensitive Float Index,163.96,-1.38,-0.83,"1,946,090,000.00"
Banking SubIndex,"1,746.01",-5.29,-0.30,"287,130,309.50"
Development Bank Index,"4,733.77",-88.53,-1.84,"165,520,331.60"
Finance Index,"2,325.59",-42.90,-1.81,"185,414,054.10"
Hotels And Tourism,"3,069.65",-33.46,-1.08,"14,497,086.90"
HydroPower Index,"3,266.25",-72.77,-2.18,"1,117,969,049.20"
Investment,91.43,-1.56,-1.68,"192,821,491.20"
Life Insurance,"15,129.71",20.66,0.14,"175,012,807.40"
Manufacturing And Processing,"6,852.64",-94.79,-1.36,"157,876,956.70"
Microfinance Index,"5,266.27",-40.74,-0.77,"253,316,359.10"
Mutual Fund,15.76,-0.07,-0.45,"7,036,383.64"
Non Life Insurance,"12,457.17",-106.81,-0.85,"281,839,169.70"
Others Index,"2,326.13",10.20,0.44,"170,733,971.60"
Trading Index,"2,900.98",-43.40,-1.47,"8,041,963.00"
