Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,730.00",2.41,0.08,"11,875,967,538.34"
Sensitive Index,459.61,1.23,0.27,"3,941,560,583.39"
Float Index,184.58,0.29,0.15,"11,669,170,437.02"
Sensitive Float Index,153.83,0.58,0.38,"3,941,560,583.39"
Banking SubIndex,"1,375.40",7.42,0.54,"623,503,424.50"
Development Bank Index,"6,025.50",-23.76,-0.39,"1,372,430,795.20"
Finance Index,"2,580.05",-28.10,-1.07,"426,274,790.90"
Hotels And Tourism,"6,939.05",-0.88,-0.01,"122,914,383.30"
HydroPower Index,"3,830.42",-18.81,-0.48,"5,253,518,038.18"
Investment,107.08,-0.50,-0.47,"847,516,464.50"
Life Insurance,"13,261.74",89.30,0.67,"636,322,092.24"
Manufacturing And Processing,"7,334.63",20.05,0.27,"300,837,343.10"
Microfinance Index,"5,215.90",5.58,0.10,"977,320,319.60"
Mutual Fund,20.28,0.15,0.78,"18,601,973.52"
Non Life Insurance,"13,231.68",108.84,0.82,"552,908,935.10"
Others Index,"2,127.15",-13.01,-0.60,"585,901,715.70"
Trading Index,"4,449.34",35.27,0.79,"20,165,708.10"
