Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,825.10",23.97,0.86,"4,815,520,294.00"
Sensitive Index,529.66,4.41,0.84,"4,935,660,000.00"
Float Index,195.41,2.10,1.09,"4,677,970,000.00"
Sensitive Float Index,173.53,2.06,1.20,"3,638,540,000.00"
Banking SubIndex,"1,927.44",17.81,0.93,"1,458,630,000.00"
Development Bank Index,"4,311.91",89.57,2.12,"889,548,000.00"
Finance Index,"2,165.33",64.95,3.09,"478,423,000.00"
Hotels And Tourism,"3,596.39",14.65,0.41,"69,315,000.00"
HydroPower Index,"2,728.08",52.06,1.95,"662,550,000.00"
Investment,105.21,1.13,1.08,"281,886,000.00"
Life Insurance,"16,925.88",42.02,0.25,"222,336,000.00"
Manufacturing And Processing,"6,125.38",23.89,0.39,"206,663,000.00"
Microfinance Index,"5,201.76",68.29,1.33,"468,974,000.00"
Mutual Fund,15.45,0.03,0.18,"69,287,600.00"
Non Life Insurance,"13,900.02",4.23,0.03,"584,373,000.00"
Others Index,"2,163.00",-12.01,-0.55,"439,224,000.00"
Trading Index,"3,724.14",-20.60,-0.55,"13,942,200.00"
