Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,509.67",14.37,0.96,"3,851,622,996.00"
Sensitive Index,324.04,2.61,0.81,"4,156,260,000.00"
Float Index,107.14,1.04,0.98,"3,805,750,000.00"
Sensitive Float Index,107.70,0.90,0.84,"3,640,530,000.00"
Banking SubIndex,"1,342.14",22.63,1.72,"1,597,650,000.00"
Development Bank Index,"1,954.01",19.95,1.03,"794,487,000.00"
Finance Index,708.37,7.78,1.11,"440,697,000.00"
Hotels And Tourism,"1,868.60",4.66,0.25,"17,582,500.00"
HydroPower Index,"1,042.76",4.94,0.48,"95,605,500.00"
Life Insurance,"8,765.69",189.30,2.21,"702,160,000.00"
Manufacturing And Processing,"2,984.35",36.12,1.23,"223,744,000.00"
Microfinance Index,"2,405.27",-116.13,-4.61,"596,388,000.00"
Mutual Fund,10.64,0.26,2.50,"1,869,060.00"
Non Life Insurance,"6,673.25",165.18,2.54,"1,006,200,000.00"
Others Index,752.25,-0.15,-0.02,"66,346,900.00"
Trading Index,876.66,-19.45,-2.17,"4,612,630.00"
