Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,960.14",53.44,1.84,"16,951,299,040.00"
Sensitive Index,528.10,7.47,1.43,"15,640,600,000.00"
Float Index,205.22,3.94,1.96,"16,298,300,000.00"
Sensitive Float Index,176.08,3.28,1.90,"11,258,100,000.00"
Banking SubIndex,"1,965.82",20.10,1.03,"3,570,630,000.00"
Development Bank Index,"4,805.71",398.29,9.04,"3,289,180,000.00"
Finance Index,"2,320.09",185.93,8.71,"1,220,820,000.00"
Hotels And Tourism,"3,564.66",-16.45,-0.46,"69,493,300.00"
HydroPower Index,"2,984.15",58.36,1.99,"3,325,260,000.00"
Investment,104.63,-0.93,-0.88,"573,974,000.00"
Life Insurance,"18,965.84",668.57,3.65,"1,215,130,000.00"
Manufacturing And Processing,"5,970.01",129.30,2.21,"418,909,000.00"
Microfinance Index,"5,405.48",-24.21,-0.45,"828,474,000.00"
Mutual Fund,15.59,0.34,2.25,"101,759,000.00"
Non Life Insurance,"15,206.84",554.15,3.78,"2,918,780,000.00"
Others Index,"2,326.31",45.63,2.00,"1,714,420,000.00"
Trading Index,"4,108.98",19.27,0.47,"61,454,500.00"
