Index,Current,Point Change,% Change,Turnover
NEPSE Index,"3,050.42",-8.24,-0.27,"14,139,785,431.00"
Sensitive Index,571.10,-2.93,-0.51,"13,991,300,000.00"
Float Index,213.84,-0.86,-0.40,"13,831,400,000.00"
Sensitive Float Index,191.31,-1.27,-0.66,"10,452,500,000.00"
Banking SubIndex,"2,131.68",-43.50,-2.00,"4,579,270,000.00"
Development Bank Index,"4,753.82",-34.38,-0.72,"2,388,890,000.00"
Finance Index,"2,612.71",65.53,2.57,"1,767,330,000.00"
Hotels And Tourism,"3,640.07",14.16,0.39,"130,388,000.00"
HydroPower Index,"3,171.15",102.65,3.35,"3,960,720,000.00"
Investment,108.32,-0.15,-0.13,"374,726,000.00"
Life Insurance,"17,661.77",68.07,0.39,"370,518,000.00"
Manufacturing And Processing,"6,437.24",84.68,1.33,"388,376,000.00"
Microfinance Index,"5,655.57",98.10,1.77,"1,426,040,000.00"
Mutual Fund,17.82,-0.26,-1.43,"236,355,000.00"
Non Life Insurance,"14,486.18",14.93,0.10,"813,172,000.00"
Others Index,"2,132.98",-10.51,-0.49,"456,996,000.00"
Trading Index,"4,051.46",55.04,1.38,"40,292,600.00"
