Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,843.00",-16.96,-0.59,"7,033,603,740.00"
Sensitive Index,525.64,-3.17,-0.60,"7,375,640,000.00"
Float Index,196.44,-0.90,-0.45,"6,960,570,000.00"
Sensitive Float Index,171.88,-1.12,-0.65,"4,802,920,000.00"
Banking SubIndex,"1,905.22",-7.42,-0.39,"1,377,100,000.00"
Development Bank Index,"4,363.65",-72.73,-1.64,"1,133,100,000.00"
Finance Index,"2,227.60",-29.50,-1.31,"668,548,000.00"
Hotels And Tourism,"3,593.38",41.69,1.17,"99,351,800.00"
HydroPower Index,"2,879.21",55.76,1.97,"1,695,970,000.00"
Investment,109.18,-1.73,-1.56,"457,549,000.00"
Life Insurance,"17,323.96",-143.88,-0.82,"369,595,000.00"
Manufacturing And Processing,"5,927.06",-41.23,-0.69,"133,368,000.00"
Microfinance Index,"5,074.86",-49.58,-0.97,"467,937,000.00"
Mutual Fund,15.30,-0.03,-0.03,"27,781,500.00"
Non Life Insurance,"14,457.68",-177.24,-1.21,"1,159,980,000.00"
Others Index,"2,184.02",-30.62,-1.38,"938,781,000.00"
Trading Index,"3,716.28",-26.17,-0.70,"23,315,900.00"
