Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,586.51",-21.16,-0.81,"8,561,539,426.00"
Sensitive Index,467.94,-2.41,-0.51,"8,083,850,000.00"
Float Index,178.41,-1.52,-0.85,"8,509,100,000.00"
Sensitive Float Index,151.93,-0.79,-0.52,"6,319,510,000.00"
Banking SubIndex,"1,869.27",-7.72,-0.41,"2,762,980,000.00"
Development Bank Index,"2,668.19",-30.27,-1.12,"1,111,150,000.00"
Finance Index,"1,177.86",-7.01,-0.59,"589,276,000.00"
Hotels And Tourism,"2,021.68",-31.58,-1.54,"14,976,000.00"
HydroPower Index,"2,057.70",-12.47,-0.60,"1,228,160,000.00"
Life Insurance,"17,718.12",-20.20,-0.11,"748,761,000.00"
Manufacturing And Processing,"5,607.02",-95.99,-1.68,"226,993,000.00"
Microfinance Index,"4,397.89",-6.32,-0.14,"850,702,000.00"
Mutual Fund,13.38,-0.16,-1.19,"31,613,400.00"
Non Life Insurance,"12,944.81",-52.04,-0.40,"1,716,370,000.00"
Others Index,"2,137.93",-51.11,-2.33,"1,225,400,000.00"
Trading Index,"2,999.52",26.73,0.90,"26,706,300.00"
