Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,204.61",29.21,1.34,"7,080,698,146.05"
Sensitive Index,391.66,5.90,1.53,"1,693,630,372.50"
Float Index,150.09,2.13,1.44,"6,782,737,444.50"
Sensitive Float Index,129.54,2.07,1.62,"1,685,146,355.70"
Banking SubIndex,"1,194.95",28.27,2.42,"675,802,857.00"
Development Bank Index,"4,465.33",7.92,0.17,"513,321,919.10"
Finance Index,"2,581.85",7.88,0.30,"673,738,476.00"
Hotels And Tourism,"5,599.67",33.63,0.60,"127,360,979.00"
HydroPower Index,"2,675.01",37.79,1.43,"1,761,297,834.80"
Investment,81.14,0.41,0.51,"445,319,173.50"
Life Insurance,"10,727.73",318.69,3.06,"473,839,117.80"
Manufacturing And Processing,"6,545.17",4.75,0.07,"306,917,059.10"
Microfinance Index,"4,847.24",-25.91,-0.53,"867,620,294.80"
Mutual Fund,19.74,0.36,1.90,"31,526,710.75"
Non Life Insurance,"11,142.21",111.90,1.01,"503,426,041.80"
Others Index,"1,681.68",25.42,1.53,"346,808,722.50"
Trading Index,"2,998.64",-11.95,-0.39,"116,497,680.30"
