Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,086.84",9.25,0.44,"1,812,473,856.12"
Sensitive Index,398.28,1.56,0.39,"515,439,829.70"
Float Index,144.69,0.70,0.48,"1,573,944,078.90"
Sensitive Float Index,131.73,0.56,0.43,"514,778,816.30"
Banking SubIndex,"1,301.63",10.51,0.81,"341,724,781.70"
Development Bank Index,"3,896.64",39.33,1.01,"119,223,603.30"
Finance Index,"1,839.49",30.62,1.69,"171,127,704.30"
Hotels And Tourism,"5,627.82",78.08,1.40,"99,089,181.60"
HydroPower Index,"2,269.89",-5.68,-0.24,"288,686,534.70"
Investment,71.66,0.01,0.01,"57,632,002.00"
Life Insurance,"11,311.91",42.81,0.37,"133,533,101.60"
Manufacturing And Processing,"5,678.18",17.84,0.31,"135,422,738.00"
Microfinance Index,"3,828.77",-11.07,-0.28,"66,810,542.80"
Mutual Fund,14.92,0.01,0.07,"38,086,130.50"
Non Life Insurance,"10,867.15",65.44,0.60,"110,228,689.60"
Others Index,"1,533.07",4.66,0.30,"34,105,685.90"
Trading Index,"2,846.38",-1.78,-0.06,"16,359,513.40"
