Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,783.85",38.19,1.39,"4,613,563,635.83"
Sensitive Index,473.41,6.08,1.30,"1,437,737,264.60"
Float Index,188.82,2.67,1.43,"4,541,884,060.90"
Sensitive Float Index,159.70,2.09,1.32,"1,437,737,264.60"
Banking SubIndex,"1,459.70",14.76,1.02,"327,669,429.50"
Development Bank Index,"5,944.10",80.01,1.36,"180,329,480.50"
Finance Index,"2,421.41",43.12,1.81,"89,020,396.30"
Hotels And Tourism,"7,993.11",54.99,0.69,"166,676,465.30"
HydroPower Index,"3,920.08",69.21,1.79,"2,315,996,325.30"
Investment,103.87,1.28,1.25,"161,814,871.30"
Life Insurance,"12,553.38",123.26,0.99,"89,231,601.70"
Manufacturing And Processing,"11,435.00",147.45,1.30,"697,659,837.00"
Microfinance Index,"4,895.40",82.11,1.70,"211,357,205.20"
Mutual Fund,21.84,0.01,0.06,"7,379,955.43"
Non Life Insurance,"10,911.29",172.76,1.60,"75,709,810.60"
Others Index,"2,054.24",42.58,2.11,"217,499,387.30"
Trading Index,"3,800.06",43.40,1.15,"8,919,250.90"
