Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,907.89",43.27,2.32,"934,894,218.15"
Sensitive Index,366.97,8.14,2.27,"240,917,334.70"
Float Index,132.59,3.15,2.43,"868,667,600.00"
Sensitive Float Index,120.75,2.93,2.49,"240,407,644.20"
Banking SubIndex,"1,216.41",29.26,2.46,"157,285,293.80"
Development Bank Index,"3,672.29",98.18,2.74,"53,402,054.90"
Finance Index,"1,666.41",23.91,1.45,"36,840,161.40"
Hotels And Tourism,"4,886.39",102.55,2.14,"24,806,883.80"
HydroPower Index,"2,019.52",49.97,2.53,"179,025,474.00"
Investment,65.90,1.44,2.23,"47,658,510.10"
Life Insurance,"10,013.97",221.61,2.26,"129,903,467.00"
Manufacturing And Processing,"5,062.03",69.09,1.38,"55,999,651.70"
Microfinance Index,"3,552.35",78.53,2.26,"67,809,800.30"
Mutual Fund,18.64,0.07,0.38,"6,016,488.25"
Non Life Insurance,"9,836.26",274.84,2.87,"94,486,370.10"
Others Index,"1,399.25",24.81,1.80,"14,981,687.90"
Trading Index,"2,753.06",49.79,1.84,"6,468,245.00"
