Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,907.95",47.75,2.56,"2,011,763,358.52"
Sensitive Index,364.81,7.83,2.19,"440,927,360.70"
Float Index,131.78,3.30,2.56,"1,996,891,734.30"
Sensitive Float Index,118.54,2.37,2.04,"438,171,590.60"
Banking SubIndex,"1,185.74",21.78,1.87,"238,867,530.00"
Development Bank Index,"3,724.40",95.66,2.63,"119,082,801.70"
Finance Index,"1,688.16",63.67,3.91,"73,949,962.30"
Hotels And Tourism,"5,083.55",90.20,1.80,"67,614,168.40"
HydroPower Index,"2,042.72",60.82,3.06,"445,061,553.40"
Investment,67.47,1.26,1.90,"103,098,742.40"
Life Insurance,"10,569.63",449.86,4.44,"380,865,181.80"
Manufacturing And Processing,"5,018.10",153.97,3.16,"235,577,650.50"
Microfinance Index,"3,339.99",67.32,2.05,"92,070,707.00"
Mutual Fund,17.68,0.24,1.41,"5,888,463.52"
Non Life Insurance,"10,127.46",358.81,3.67,"190,123,603.20"
Others Index,"1,421.89",25.89,1.85,"37,583,791.60"
Trading Index,"2,796.51",96.81,3.58,"12,996,042.00"
