Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,018.33",-17.30,-0.85,"3,205,313,024.75"
Sensitive Index,356.58,-2.51,-0.70,"446,632,280.30"
Float Index,136.39,-0.91,-0.66,"2,789,397,290.20"
Sensitive Float Index,116.43,-0.86,-0.73,"397,383,740.90"
Banking SubIndex,"1,064.82",-5.77,-0.53,"162,063,900.30"
Development Bank Index,"3,917.17",-43.56,-1.09,"109,936,098.00"
Finance Index,"1,915.54",-12.06,-0.62,"222,505,055.00"
Hotels And Tourism,"5,138.70",-39.83,-0.76,"45,481,152.90"
HydroPower Index,"2,493.03",-2.19,-0.08,"1,231,112,010.10"
Investment,75.85,-0.60,-0.79,"159,246,448.10"
Life Insurance,"10,117.30",-102.05,-0.99,"129,229,973.60"
Manufacturing And Processing,"7,004.94",-265.91,-3.65,"554,722,563.50"
Microfinance Index,"3,843.17",-46.92,-1.20,"229,207,469.00"
Mutual Fund,18.23,-0.13,-0.73,"4,839,333.36"
Non Life Insurance,"10,465.98",13.13,0.12,"106,293,866.80"
Others Index,"1,674.54",-12.11,-0.71,"116,958,470.40"
Trading Index,"2,744.20",-48.72,-1.74,"9,533,614.30"
