Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,640.68",49.12,1.89,"6,305,431,854.50"
Sensitive Index,449.59,6.69,1.51,"2,006,653,418.50"
Float Index,178.80,3.18,1.81,"6,211,693,536.78"
Sensitive Float Index,150.01,2.25,1.52,"2,006,653,418.50"
Banking SubIndex,"1,397.30",15.16,1.09,"465,866,535.00"
Development Bank Index,"5,420.23",130.45,2.46,"407,335,117.80"
Finance Index,"2,907.04",34.28,1.19,"376,674,944.10"
Hotels And Tourism,"6,633.13",193.04,2.99,"65,376,005.00"
HydroPower Index,"3,664.68",125.70,3.55,"3,203,005,473.40"
Investment,102.03,3.19,3.23,"520,941,291.70"
Life Insurance,"12,720.24",285.12,2.29,"205,056,285.58"
Manufacturing And Processing,"6,816.84",126.69,1.89,"145,701,693.60"
Microfinance Index,"4,918.87",36.86,0.75,"542,463,580.30"
Mutual Fund,20.27,0.13,0.65,"31,010,259.62"
Non Life Insurance,"12,585.67",129.82,1.04,"151,392,991.80"
Others Index,"1,939.12",33.56,1.76,"125,600,601.20"
Trading Index,"4,539.33",21.20,0.46,"22,439,864.80"
