Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,015.98",17.69,0.88,"1,332,564,769.51"
Sensitive Index,385.98,3.36,0.87,"326,295,559.10"
Float Index,139.64,1.10,0.79,"1,034,933,156.00"
Sensitive Float Index,127.70,0.96,0.76,"325,748,061.10"
Banking SubIndex,"1,271.35",4.76,0.37,"213,061,619.30"
Development Bank Index,"3,799.00",43.10,1.14,"65,209,985.00"
Finance Index,"1,730.69",37.58,2.21,"48,397,773.00"
Hotels And Tourism,"5,640.22",70.58,1.26,"67,804,164.90"
HydroPower Index,"2,089.80",34.30,1.66,"163,232,733.00"
Investment,70.18,0.59,0.85,"32,801,507.40"
Life Insurance,"11,006.02",50.05,0.45,"106,687,264.00"
Manufacturing And Processing,"5,297.67",83.91,1.60,"106,085,946.70"
Microfinance Index,"3,670.53",16.51,0.45,"70,371,076.80"
Mutual Fund,18.77,0.00,0.02,"5,827,288.91"
Non Life Insurance,"10,743.05",122.49,1.15,"116,671,594.10"
Others Index,"1,489.67",21.74,1.48,"31,019,898.40"
Trading Index,"2,861.31",16.72,0.58,"13,589,593.40"
