Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,029.43",18.03,0.90,"1,312,962,959.61"
Sensitive Index,388.76,2.83,0.73,"1,250,600,000.00"
Float Index,140.46,1.16,0.83,"1,307,000,000.00"
Sensitive Float Index,127.54,1.15,0.91,"875,940,000.00"
Banking SubIndex,"1,373.80",2.01,0.15,"199,302,030.10"
Development Bank Index,"3,533.16",32.03,0.91,"71,836,168.60"
Finance Index,"1,598.22",22.52,1.43,"101,894,162.00"
Hotels And Tourism,"2,747.64",129.08,4.93,"32,889,326.20"
HydroPower Index,"2,344.12",26.83,1.16,"288,770,533.20"
Investment,66.21,1.09,1.68,"77,553,761.40"
Life Insurance,"9,820.45",117.06,1.21,"122,209,840.50"
Manufacturing And Processing,"5,172.29",37.72,0.73,"135,136,467.40"
Microfinance Index,"4,464.89",30.29,0.68,"170,261,715.50"
Mutual Fund,14.93,-0.04,-0.27,"2,750,332.32"
Non Life Insurance,"8,087.84",108.49,1.36,"40,137,668.60"
Others Index,"1,487.92",30.31,2.08,"61,761,313.70"
Trading Index,"2,036.25",-0.02,0.00,"5,242,039.00"
