Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,698.45",-10.24,-0.37,"11,659,752,143.11"
Sensitive Index,459.68,-0.79,-0.17,"3,801,836,542.20"
Float Index,185.65,-0.62,-0.33,"11,592,021,374.20"
Sensitive Float Index,157.29,-0.13,-0.08,"3,801,836,542.20"
Banking SubIndex,"1,370.41",-1.80,-0.13,"396,530,716.40"
Development Bank Index,"5,764.60",-54.09,-0.92,"356,994,298.20"
Finance Index,"2,535.40",-0.41,-0.01,"472,820,287.40"
Hotels And Tourism,"7,522.74",-164.44,-2.13,"355,100,926.30"
HydroPower Index,"3,570.32",-11.11,-0.31,"6,817,156,018.00"
Investment,105.24,0.09,0.09,"590,874,475.70"
Life Insurance,"12,949.09",-93.14,-0.71,"265,546,905.20"
Manufacturing And Processing,"9,267.69",-108.79,-1.16,"976,746,834.00"
Microfinance Index,"4,926.40",-10.64,-0.21,"330,165,666.50"
Mutual Fund,21.39,-0.13,-0.61,"7,656,896.91"
Non Life Insurance,"11,224.15",-31.71,-0.28,"371,833,174.10"
Others Index,"2,384.56",10.98,0.46,"626,166,425.50"
Trading Index,"3,741.72",-49.34,-1.30,"32,085,646.90"
