Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,583.60",13.22,0.84,"1,271,829,990.00"
Sensitive Index,313.55,2.65,0.85,"1,323,530,000.00"
Float Index,110.29,0.88,0.80,"1,212,330,000.00"
Sensitive Float Index,103.43,0.82,0.80,"882,045,000.00"
Banking SubIndex,"1,258.41",7.74,0.62,"270,452,000.00"
Development Bank Index,"2,080.00",22.19,1.08,"143,860,000.00"
Finance Index,844.89,8.60,1.03,"120,171,000.00"
Hotels And Tourism,"1,763.45",19.27,1.10,"6,291,070.00"
HydroPower Index,"1,397.60",27.72,2.02,"452,083,000.00"
Life Insurance,"9,551.92",78.12,0.82,"72,198,000.00"
Manufacturing And Processing,"3,034.60",25.36,0.84,"26,970,900.00"
Microfinance Index,"2,531.74",16.44,0.65,"65,327,000.00"
Mutual Fund,10.57,0.11,1.03,"3,217,860.00"
Non Life Insurance,"7,891.05",55.76,0.71,"133,406,000.00"
Others Index,"1,030.70",11.40,1.12,"126,453,000.00"
Trading Index,"1,066.49",2.96,0.28,"4,324,760.00"
