Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,077.78",-1.93,-0.09,"4,388,278,720.37"
Sensitive Index,370.34,-1.27,-0.34,"1,235,758,987.30"
Float Index,140.62,-0.35,-0.24,"4,313,396,399.60"
Sensitive Float Index,121.13,-0.52,-0.42,"1,230,147,417.60"
Banking SubIndex,"1,109.45",-7.74,-0.69,"196,168,665.80"
Development Bank Index,"4,037.55",-24.46,-0.60,"146,188,467.30"
Finance Index,"2,158.22",-45.87,-2.08,"455,372,501.30"
Hotels And Tourism,"5,301.91",5.97,0.11,"72,439,159.00"
HydroPower Index,"2,502.90",20.59,0.82,"1,114,584,280.30"
Investment,76.65,0.37,0.48,"494,490,480.00"
Life Insurance,"10,117.92",-24.94,-0.24,"110,774,355.60"
Manufacturing And Processing,"6,554.30",-42.46,-0.64,"209,188,875.00"
Microfinance Index,"4,656.35",42.32,0.91,"1,277,107,103.00"
Mutual Fund,19.62,-0.05,-0.29,"5,780,293.98"
Non Life Insurance,"10,568.12",-40.19,-0.37,"88,596,926.70"
Others Index,"1,627.81",-2.74,-0.16,"151,331,391.20"
Trading Index,"3,034.98",58.35,1.96,"36,695,704.70"
