Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,942.68",10.23,0.52,"1,072,212,418.60"
Sensitive Index,373.90,2.32,0.62,"350,530,493.00"
Float Index,134.68,0.71,0.53,"40,356,510.40"
Sensitive Float Index,123.81,0.82,0.66,"350,286,954.00"
Banking SubIndex,"1,245.31",8.03,0.64,"253,026,107.20"
Development Bank Index,"3,668.33",22.87,0.62,"43,315,880.00"
Finance Index,"1,649.57",16.37,1.00,"40,356,510.40"
Hotels And Tourism,"5,408.88",67.90,1.27,"47,681,029.60"
HydroPower Index,"1,940.19",-2.85,-0.14,"273,989,141.30"
Investment,68.37,0.20,0.30,"26,589,998.00"
Life Insurance,"10,555.88",37.51,0.35,"96,134,039.60"
Manufacturing And Processing,"5,063.29",8.78,0.17,"94,202,202.50"
Microfinance Index,"3,545.66",28.86,0.82,"62,268,054.20"
Mutual Fund,18.48,0.03,0.17,"7,056,548.80"
Non Life Insurance,"10,327.31",89.00,0.86,"63,551,962.80"
Others Index,"1,418.69",6.82,0.48,"27,310,780.50"
Trading Index,"2,949.95",48.66,1.67,"22,421,461.70"
