Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,966.37",-29.89,-1.50,"1,491,758,817.38"
Sensitive Index,378.90,-4.60,-1.20,"1,451,450,000.00"
Float Index,135.63,-2.16,-1.57,"1,466,760,000.00"
Sensitive Float Index,122.69,-1.77,-1.43,"1,083,860,000.00"
Banking SubIndex,"1,367.84",-17.56,-1.27,"326,474,944.30"
Development Bank Index,"3,386.29",-53.66,-1.56,"97,471,255.10"
Finance Index,"1,433.94",-29.62,-2.02,"49,183,393.20"
Hotels And Tourism,"2,585.67",-13.97,-0.54,"15,303,241.70"
HydroPower Index,"2,284.04",-54.15,-2.32,"313,948,999.80"
Investment,63.17,-1.56,-2.41,"86,777,203.80"
Life Insurance,"9,264.74",-189.58,-2.01,"122,346,728.80"
Manufacturing And Processing,"4,704.59",-77.69,-1.62,"85,936,725.20"
Microfinance Index,"4,176.14",-66.80,-1.57,"141,485,171.40"
Mutual Fund,14.40,-0.13,-0.89,"3,885,598.51"
Non Life Insurance,"8,031.84",-134.27,-1.64,"84,256,337.30"
Others Index,"1,453.84",-0.45,-0.03,"138,402,713.60"
Trading Index,"1,605.71",-41.18,-2.50,"5,170,131.50"
