Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,921.31",-11.82,-0.61,"1,058,263,522.26"
Sensitive Index,372.60,-3.22,-0.86,0.00
Float Index,132.37,-0.75,-0.56,0.00
Sensitive Float Index,120.43,-1.01,-0.83,0.00
Banking SubIndex,"1,340.90",0.29,0.02,"137,479,752.39"
Development Bank Index,"3,192.26",-43.83,-1.35,"61,982,246.70"
Finance Index,"1,379.94",-22.04,-1.57,"43,812,644.20"
Hotels And Tourism,"2,518.22",-17.92,-0.71,"9,553,788.50"
HydroPower Index,"2,099.17",-36.13,-1.69,"267,770,288.70"
Investment,63.35,-1.06,-1.65,"88,242,734.50"
Life Insurance,"9,549.60",96.90,1.03,"180,126,796.30"
Manufacturing And Processing,"4,764.61",-48.40,-1.01,"50,004,184.60"
Microfinance Index,"4,138.57",-38.79,-0.93,"84,543,375.80"
Mutual Fund,13.97,-0.06,-0.44,"6,062,157.02"
Non Life Insurance,"7,717.95",-109.96,-1.40,"46,744,621.70"
Others Index,"1,402.47",-13.79,-0.97,"68,533,802.30"
Trading Index,"1,627.07",-14.00,-0.85,"3,405,069.00"
