Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,923.46",-8.18,-0.27,"21,515,010,633.31"
Sensitive Index,511.15,-1.32,-0.25,"5,633,605,088.20"
Float Index,200.28,-0.43,-0.21,"20,949,651,533.54"
Sensitive Float Index,167.66,-0.57,-0.34,"5,603,781,688.00"
Banking SubIndex,"1,583.34",7.16,0.45,"2,055,191,811.04"
Development Bank Index,"5,519.64",-76.22,-1.36,"1,121,173,726.40"
Finance Index,"3,686.93",57.04,1.57,"2,613,579,011.40"
Hotels And Tourism,"7,536.68",-173.95,-2.25,"349,728,164.50"
HydroPower Index,"3,708.64",-13.06,-0.35,"7,453,214,015.10"
Investment,116.62,0.09,0.08,"1,333,191,364.00"
Life Insurance,"14,838.88",79.73,0.54,"1,786,676,853.10"
Manufacturing And Processing,"8,114.01",-115.30,-1.40,"1,045,194,761.30"
Microfinance Index,"5,466.08",-62.81,-1.13,"1,105,684,770.80"
Mutual Fund,21.99,-0.01,-0.07,"94,894,724.92"
Non Life Insurance,"14,124.26",-145.67,-1.02,"1,021,844,280.20"
Others Index,"2,386.07",-18.00,-0.74,"1,097,657,178.50"
Trading Index,"4,124.79",2.69,0.06,"54,379,500.60"
