Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,343.87",-41.78,-1.75,"1,530,692,955.67"
Sensitive Index,444.15,-6.82,-1.51,"1,444,280,000.00"
Float Index,160.11,-2.53,-1.55,"1,509,120,000.00"
Sensitive Float Index,142.20,-1.62,-1.12,"999,341,000.00"
Banking SubIndex,"1,578.92",-16.54,-1.04,"263,749,908.50"
Development Bank Index,"4,034.06",-69.10,-1.68,"148,873,479.30"
Finance Index,"1,742.25",-62.01,-3.44,"91,591,928.50"
Hotels And Tourism,"3,008.52",-49.71,-1.63,"16,473,324.70"
HydroPower Index,"2,617.29",-80.30,-2.98,"390,740,248.30"
Investment,76.54,-1.57,-2.01,"116,235,765.72"
Life Insurance,"12,687.24",-263.96,-2.04,"118,992,442.70"
Manufacturing And Processing,"5,515.94",-93.44,-1.67,"81,737,990.90"
Microfinance Index,"4,759.62",-36.22,-0.76,"120,546,100.30"
Mutual Fund,15.05,-0.11,-0.73,"3,890,569.32"
Non Life Insurance,"10,720.15",-342.37,-3.09,"113,764,096.60"
Others Index,"1,785.98",-52.51,-2.86,"43,719,565.00"
Trading Index,"2,210.35",-11.79,-0.53,"2,695,837.00"
