Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,992.30",13.28,0.67,"2,017,739,060.68"
Sensitive Index,355.97,2.14,0.60,"385,567,776.10"
Float Index,135.57,0.80,0.59,"1,987,154,441.20"
Sensitive Float Index,116.29,0.61,0.52,"370,333,156.20"
Banking SubIndex,"1,072.86",2.17,0.20,"195,984,614.20"
Development Bank Index,"3,921.03",21.44,0.54,"68,558,353.80"
Finance Index,"1,823.62",-4.59,-0.25,"134,850,391.60"
Hotels And Tourism,"5,133.08",73.76,1.45,"31,919,649.50"
HydroPower Index,"2,535.45",34.15,1.36,"717,160,449.60"
Investment,75.16,0.72,0.96,"101,560,945.40"
Life Insurance,"10,051.62",31.73,0.31,"166,222,783.70"
Manufacturing And Processing,"6,176.85",151.63,2.51,"227,383,345.00"
Microfinance Index,"3,526.97",-2.12,-0.06,"77,265,165.70"
Mutual Fund,17.94,-0.03,-0.21,"4,300,767.58"
Non Life Insurance,"10,319.80",23.19,0.22,"83,160,630.80"
Others Index,"1,697.32",12.76,0.75,"169,120,180.70"
Trading Index,"2,699.84",35.71,1.34,"13,967,931.20"
