Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,640.64",-2.39,-0.15,"1,757,423,745.00"
Sensitive Index,326.49,-0.11,-0.03,"1,722,150,000.00"
Float Index,114.35,-0.22,-0.19,"1,638,870,000.00"
Sensitive Float Index,107.34,-0.19,-0.18,"1,289,720,000.00"
Banking SubIndex,"1,309.54",-3.04,-0.23,"476,578,000.00"
Development Bank Index,"2,100.97",-11.42,-0.54,"263,447,000.00"
Finance Index,864.72,-2.88,-0.33,"113,501,000.00"
Hotels And Tourism,"1,752.49",4.67,0.27,"5,775,400.00"
HydroPower Index,"1,418.50",1.58,0.11,"343,792,000.00"
Life Insurance,"9,703.78",-12.67,-0.13,"149,284,000.00"
Manufacturing And Processing,"3,038.29",-0.11,0.00,"28,751,200.00"
Microfinance Index,"2,668.75",-3.66,-0.14,"187,323,000.00"
Mutual Fund,10.91,0.00,0.00,"4,915,900.00"
Non Life Insurance,"8,206.68",-88.68,-1.07,"279,648,000.00"
Others Index,"1,081.69",5.39,0.50,"175,034,000.00"
Trading Index,"1,245.46",25.31,2.07,"15,329,900.00"
