Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,700.65",-1.46,-0.05,"4,446,520,247.39"
Sensitive Index,463.80,-0.17,-0.03,"1,304,380,046.59"
Float Index,184.67,0.00,0.00,"3,925,244,898.70"
Sensitive Float Index,157.09,0.10,0.06,"1,304,380,046.59"
Banking SubIndex,"1,431.03",-1.51,-0.10,"257,408,616.21"
Development Bank Index,"5,718.59",-4.02,-0.07,"131,360,669.30"
Finance Index,"2,490.06",25.04,1.01,"314,094,516.29"
Hotels And Tourism,"7,595.89",-10.91,-0.14,"113,843,572.00"
HydroPower Index,"3,786.59",-7.88,-0.20,"1,469,116,775.80"
Investment,99.94,-0.02,-0.02,"356,448,357.20"
Life Insurance,"12,344.51",-56.21,-0.45,"78,948,004.80"
Manufacturing And Processing,"11,056.47",-7.14,-0.06,"696,598,686.60"
Microfinance Index,"4,751.25",19.87,0.42,"346,867,683.50"
Mutual Fund,21.65,-0.12,-0.59,"7,244,248.79"
Non Life Insurance,"11,046.52",-23.42,-0.21,"43,167,132.70"
Others Index,"1,975.70",-4.13,-0.20,"114,135,164.30"
Trading Index,"3,425.38",31.26,0.92,"3,255,720.00"
