Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,985.57",-9.01,-0.30,"7,897,594,269.00"
Sensitive Index,558.11,-2.82,-0.50,"8,185,460,000.00"
Float Index,208.32,-0.50,-0.24,"7,532,120,000.00"
Sensitive Float Index,185.95,-0.76,-0.41,"5,407,420,000.00"
Banking SubIndex,"2,067.48",-0.74,-0.04,"2,025,000,000.00"
Development Bank Index,"4,790.80",-38.22,-0.79,"1,355,940,000.00"
Finance Index,"2,481.46",-32.43,-1.29,"878,963,000.00"
Hotels And Tourism,"3,657.11",60.21,1.67,"95,762,000.00"
HydroPower Index,"2,972.66",35.89,1.22,"2,354,740,000.00"
Investment,108.71,-1.11,-1.02,"309,607,000.00"
Life Insurance,"17,597.18",-126.95,-0.72,"175,123,000.00"
Manufacturing And Processing,"6,302.71",14.36,0.23,"160,876,000.00"
Microfinance Index,"5,483.26",-27.11,-0.49,"558,449,000.00"
Mutual Fund,17.40,1.02,6.25,"292,525,000.00"
Non Life Insurance,"14,382.29",-188.16,-1.29,"662,923,000.00"
Others Index,"2,148.29",-26.42,-1.21,"356,930,000.00"
Trading Index,"4,080.13",126.38,3.20,"57,887,400.00"
