Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,611.85",-8.41,-0.32,"7,083,348,240.63"
Sensitive Index,440.00,-1.44,-0.32,"3,222,539,261.00"
Float Index,176.84,-0.68,-0.38,"6,777,696,987.40"
Sensitive Float Index,149.15,-0.68,-0.45,"3,222,539,261.00"
Banking SubIndex,"1,301.82",-3.95,-0.30,"286,374,289.60"
Development Bank Index,"5,371.57",-116.86,-2.12,"564,454,533.50"
Finance Index,"2,387.09",-19.11,-0.79,"117,132,200.70"
Hotels And Tourism,"6,891.66",322.83,4.91,"537,272,508.50"
HydroPower Index,"3,454.42",-22.60,-0.65,"3,392,914,721.20"
Investment,110.00,-0.05,-0.04,"415,665,620.50"
Life Insurance,"13,280.28",-55.76,-0.41,"494,262,280.90"
Manufacturing And Processing,"7,109.47",-32.58,-0.45,"258,870,937.10"
Microfinance Index,"4,646.81",-2.80,0.06,"253,702,145.90"
Mutual Fund,19.56,0.05,0.29,"23,533,756.83"
Non Life Insurance,"12,326.41",-49.95,-0.40,"213,329,086.40"
Others Index,"2,264.06",-26.21,-1.14,"230,141,683.80"
Trading Index,"4,389.53",30.84,0.70,"13,576,979.30"
