Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,575.18",3.00,0.19,"2,742,795,692.00"
Sensitive Index,313.62,1.12,0.36,"2,483,090,000.00"
Float Index,109.29,0.47,0.43,"2,701,460,000.00"
Sensitive Float Index,103.14,0.56,0.55,"1,967,120,000.00"
Banking SubIndex,"1,268.79",19.41,1.55,"1,002,610,000.00"
Development Bank Index,"1,863.84",25.88,1.41,"290,369,000.00"
Finance Index,755.51,28.66,3.94,"213,748,000.00"
Hotels And Tourism,"1,787.88",-96.65,-5.13,"37,079,000.00"
HydroPower Index,"1,237.68",-52.37,-4.06,"436,357,000.00"
Life Insurance,"9,823.69",-56.26,-0.57,"332,609,000.00"
Manufacturing And Processing,"3,064.01",-2.17,-0.07,"74,242,700.00"
Microfinance Index,"2,591.65",-13.81,-0.53,"126,991,000.00"
Mutual Fund,10.87,-0.10,-0.95,"3,674,560.00"
Non Life Insurance,"8,077.36",-70.11,-0.86,"352,302,000.00"
Others Index,"1,010.33",-10.36,-1.01,"262,689,000.00"
