Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,665.60",9.61,0.36,"6,692,971,095.04"
Sensitive Index,459.17,1.64,0.36,"3,159,840,300.20"
Float Index,182.45,0.54,0.30,"6,633,948,936.40"
Sensitive Float Index,155.84,0.49,0.31,"3,159,840,300.20"
Banking SubIndex,"1,375.97",9.06,0.66,"376,766,843.20"
Development Bank Index,"5,476.76",7.10,0.12,"261,886,517.80"
Finance Index,"2,309.86",-3.85,-0.16,"76,051,482.40"
Hotels And Tourism,"7,053.13",69.22,0.99,"261,983,149.20"
HydroPower Index,"3,435.32",9.86,0.28,"2,458,422,748.80"
Investment,106.63,-0.18,-0.17,"835,754,056.80"
Life Insurance,"13,613.70",-44.88,-0.32,"574,039,488.80"
Manufacturing And Processing,"7,933.59",58.70,0.74,"604,034,065.40"
Microfinance Index,"5,056.28",35.71,0.71,"674,085,147.50"
Mutual Fund,19.90,-0.01,-0.05,"9,577,353.15"
Non Life Insurance,"11,092.21",-37.50,-0.33,"117,488,443.00"
Others Index,"2,402.00",10.96,0.45,"382,313,085.10"
Trading Index,"3,834.46",25.95,0.68,"11,123,908.40"
