Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,023.35",-2.35,-0.11,"3,063,771,798.12"
Sensitive Index,358.20,0.01,0.00,"884,952,759.10"
Float Index,136.84,-0.19,-0.14,"2,970,464,861.50"
Sensitive Float Index,116.99,-0.07,-0.06,"868,538,992.30"
Banking SubIndex,"1,055.77",-3.46,-0.32,"167,732,918.80"
Development Bank Index,"3,944.03",-16.48,-0.41,"113,152,170.80"
Finance Index,"2,036.07",21.06,1.04,"369,723,724.70"
Hotels And Tourism,"5,102.09",-15.87,-0.31,"45,252,996.90"
HydroPower Index,"2,491.53",9.71,0.39,"1,202,933,630.60"
Investment,75.17,-0.62,-0.82,"74,830,857.90"
Life Insurance,"10,157.07",-71.85,-0.70,"202,648,640.80"
Manufacturing And Processing,"6,721.63",-29.98,-0.44,"188,530,325.10"
Microfinance Index,"4,081.36",76.58,1.91,"440,168,941.80"
Mutual Fund,18.13,-0.13,-0.73,"3,755,294.52"
Non Life Insurance,"10,409.10",-109.38,-1.03,"91,487,953.10"
Others Index,"1,697.66",-7.09,-0.41,"122,816,495.90"
Trading Index,"2,805.47",14.09,0.50,"8,304,943.70"
